             c_cp             | c_estado 
 20620                        | AGU
 20621                        | AGU
 20622                        | AGU
 20623                        | AGU
 20624                        | AGU
 20625                        | AGU
 20626                        | AGU
 20627                        | AGU
 20628                        | AGU
 20629                        | AGU
 20630                        | AGU
 20631                        | AGU
 20632                        | AGU
 20633                        | AGU
 20634                        | AGU
 20635                        | AGU
 20636                        | AGU
 20637                        | AGU
 20638                        | AGU
 20639                        | AGU
 20641                        | AGU
 20642                        | AGU
 20643                        | AGU
 20644                        | AGU
 20645                        | AGU
 20646                        | AGU
 20647                        | AGU
 20648                        | AGU
 20649                        | AGU
 20650                        | AGU
 20651                        | AGU
 20652                        | AGU
 20653                        | AGU
 20654                        | AGU
 20655                        | AGU
 20656                        | AGU
 20657                        | AGU
 20658                        | AGU
 20659                        | AGU
 20660                        | AGU
 20661                        | AGU
 20662                        | AGU
 20663                        | AGU
 20664                        | AGU
 20665                        | AGU
 20666                        | AGU
 20667                        | AGU
 20668                        | AGU
 20669                        | AGU
 20670                        | AGU
 20671                        | AGU
 20672                        | AGU
 20673                        | AGU
 20674                        | AGU
 20675                        | AGU
 20676                        | AGU
 20677                        | AGU
 20678                        | AGU
 20679                        | AGU
 20680                        | AGU
 20681                        | AGU
 20682                        | AGU
 20683                        | AGU
 20684                        | AGU
 20685                        | AGU
 20686                        | AGU
 20687                        | AGU
 20688                        | AGU
 20689                        | AGU
 20690                        | AGU
 20691                        | AGU
 20692                        | AGU
 20693                        | AGU
 20694                        | AGU
 20695                        | AGU
 20696                        | AGU
 20697                        | AGU
 20698                        | AGU
 20699                        | AGU
 20700                        | AGU
 20701                        | AGU
 20702                        | AGU
 20703                        | AGU
 20704                        | AGU
 20705                        | AGU
 20706                        | AGU
 20707                        | AGU
 20708                        | AGU
 20709                        | AGU
 20710                        | AGU
 20711                        | AGU
 20712                        | AGU
 20713                        | AGU
 20714                        | AGU
 20715                        | AGU
 20716                        | AGU
 20717                        | AGU
 20718                        | AGU
 20719                        | AGU
 20720                        | AGU
 20721                        | AGU
 20722                        | AGU
 20723                        | AGU
 20724                        | AGU
 20725                        | AGU
 20726                        | AGU
 20727                        | AGU
 20728                        | AGU
 20729                        | AGU
 20730                        | AGU
 20731                        | AGU
 20732                        | AGU
 20733                        | AGU
 20734                        | AGU
 20735                        | AGU
 20736                        | AGU
 20737                        | AGU
 20738                        | AGU
 20739                        | AGU
 20740                        | AGU
 20741                        | AGU
 20742                        | AGU
 20743                        | AGU
 20744                        | AGU
 20745                        | AGU
 20746                        | AGU
 20747                        | AGU
 20748                        | AGU
 20749                        | AGU
 20750                        | AGU
 20751                        | AGU
 20752                        | AGU
 20753                        | AGU
 20754                        | AGU
 20755                        | AGU
 20756                        | AGU
 20757                        | AGU
 20758                        | AGU
 20759                        | AGU
 20760                        | AGU
 20761                        | AGU
 20762                        | AGU
 20763                        | AGU
 20764                        | AGU
 20765                        | AGU
 20766                        | AGU
 20767                        | AGU
 20768                        | AGU
 20769                        | AGU
 20770                        | AGU
 20771                        | AGU
 20772                        | AGU
 20773                        | AGU
 20774                        | AGU
 20775                        | AGU
 20776                        | AGU
 20777                        | AGU
 20778                        | AGU
 20779                        | AGU
 20780                        | AGU
 20781                        | AGU
 20782                        | AGU
 20783                        | AGU
 20784                        | AGU
 20785                        | AGU
 20786                        | AGU
 20787                        | AGU
 20788                        | AGU
 20789                        | AGU
 20790                        | AGU
 20791                        | AGU
 20792                        | AGU
 20793                        | AGU
 20794                        | AGU
 20795                        | AGU
 20796                        | AGU
 20797                        | AGU
 20798                        | AGU
 20799                        | AGU
 20800                        | AGU
 20801                        | AGU
 20802                        | AGU
 20803                        | AGU
 20804                        | AGU
 20805                        | AGU
 20806                        | AGU
 20807                        | AGU
 20808                        | AGU
 20809                        | AGU
 20810                        | AGU
 20811                        | AGU
 20812                        | AGU
 20813                        | AGU
 20814                        | AGU
 20815                        | AGU
 20816                        | AGU
 20817                        | AGU
 20818                        | AGU
 20819                        | AGU
 20820                        | AGU
 20821                        | AGU
 20822                        | AGU
 20823                        | AGU
 20824                        | AGU
 20825                        | AGU
 20826                        | AGU
 20827                        | AGU
 20828                        | AGU
 20829                        | AGU
 20830                        | AGU
 20831                        | AGU
