 c_localidad | c_estado |               descripcion               
          16 | MEX      | Tultitlán de Mariano Escobedo
          16 | MIC      | Zinapécuaro de Figueroa
          16 | NAY      | La peñita de Jaltemba
          16 | OAX      | Tlacolula de Matamoros
          16 | PUE      | Ciudad Serdán
          16 | SIN      | San Blas
          16 | SLP      | Villa de Reyes
          16 | TAM      | Xicoténcatl
          16 | VER      | Túxpam de Rodríguez Cano
          16 | ZAC      | Sombrerete
          17 | COA      | Nava
          17 | CHP      | Ocozocoautla de Espinosa
          17 | GRO      | Olinalá
          17 | GUA      | Comonfort
          17 | JAL      | Atotonilco el Alto
          17 | MEX      | Cuautitlán
          17 | MIC      | Puruándiro
          17 | NAY      | Jala
          17 | NLE      | Santiago
          17 | OAX      | San Pablo Villa de Mitla
          17 | PUE      | Amozoc
          17 | SIN      | La Cruz
          17 | SLP      | Fracción el Refugio
          17 | TAM      | Ciudad Miguel Alemán
          17 | VER      | Veracruz
          17 | ZAC      | Jalpa
          18 | COA      | Zaragoza
          18 | CHP      | Cintalapa de Figueroa
          18 | GRO      | Marquelia
          18 | GUA      | Uriangato
          18 | JAL      | Jalostotitlán
          18 | MEX      | Ixtapaluca
          18 | MIC      | Yurécuaro
          18 | NAY      | Ahuacatlán
          18 | NLE      | El cercado
          18 | OAX      | Natividad
          18 | SIN      | El rosario
          18 | SLP      | Tamazunchale
          18 | TAM      | Soto la Marina
          18 | VER      | Tierra Blanca
          18 | ZAC      | Loreto
          19 | COA      | San Buenaventura
          19 | CHP      | Pichucalco
          19 | GRO      | Zumpango del Río
          19 | GUA      | Pénjamo
          19 | JAL      | Poncitlán
          19 | MEX      | Texcoco de Mora
          19 | MIC      | Huetamo de Núñez
          19 | OAX      | Teotitlán de Flores Magón
          19 | SIN      | Estación Naranjo
          19 | SLP      | Santa María del Río
          19 | TAM      | Ciudad Tula
          19 | VER      | Cosamaloapan
          19 | ZAC      | Juan Aldama
          20 | COA      | Ciudad Melchor Múzquiz
          20 | CHP      | Puerto Madero (San Benito)
          20 | GRO      | San Luis de la Loma
          20 | GUA      | Cuerámaro
          20 | JAL      | Arandas
          20 | MEX      | Toluca de Lerdo
          20 | MIC      | Tacámbaro de Codallos
          20 | NLE      | Anáhuac
          20 | OAX      | Santa María Huatulco
          20 | SIN      | Aguaruto
          20 | SLP      | El Naranjo
          20 | TAM      | Nueva Ciudad Guerrero
          20 | VER      | Carlos A. Carrillo
          21 | COA      | Viesca
          21 | CHP      | Pijijiapan
          21 | GRO      | Petatlán
          21 | GUA      | Empalme Escobedo (Escobedo)
          21 | JAL      | Talpa de Allende
          21 | MEX      | Valle de Chalco Solidaridad
          21 | MIC      | Ciudad Lázaro Cárdenas
          21 | NLE      | García
          21 | OAX      | San Juan Bautista Cuicatlán
          21 | SIN      | Cosalá
          21 | TAM      | Valle Hermoso
          21 | VER      | Pánuco
          22 | COA      | Morelos
          22 | CHP      | Reforma
          22 | GRO      | La Unión
          22 | GUA      | San Luis de la Paz
          22 | JAL      | Etzatlán
          22 | MEX      | Tejupilco de Hidalgo
          22 | MIC      | Las Guacamayas
          22 | NLE      | Ciudad Benito Juárez
          22 | OAX      | Villa Sola de Vega
          22 | SIN      | San Ignacio
          22 | VER      | Tampico Alto
          23 | COA      | Arteaga
          23 | CHP      | Huixtla
          23 | GRO      | San Luis San Pedro
          23 | GUA      | Valle de Santiago
          23 | JAL      | Sayula
          23 | MEX      | Chalco de Díaz Covarrubias
          23 | MIC      | Jiquilpan de Juárez
          23 | OAX      | Ocotlán de Morelos
          23 | SIN      | Topolobampo
          23 | VER      | Tempoal de Sánchez
          24 | COA      | Allende
          24 | CHP      | Motozintla de Mendoza
          24 | GRO      | Teloloapan
          24 | GUA      | Abasolo
          24 | JAL      | Ahualulco de Mercado
          24 | MEX      | Amatepec
          24 | MIC      | Tuxpan
          24 | OAX      | Villa de Zaachila
          24 | SIN      | Lic. Benito Juárez (Campo Gobierno)
          24 | VER      | Tantoyuca
          25 | CHP      | Acala
          25 | GRO      | Técpan de Galeana
          25 | GUA      | Rincón de Tamayo
          25 | JAL      | Autlán de Navarro
          25 | MIC      | Cotija de la Paz
          25 | OAX      | Miahuatlán de Porfirio Díaz
          25 | VER      | Gutiérrez Zamora
          26 | GRO      | Huitzuco
          26 | GUA      | Villagrán
          26 | JAL      | Magdalena
          26 | MEX      | Melchor Ocampo
          26 | MIC      | Nueva Italia de Ruiz
          26 | OAX      | Unión Hidalgo
          26 | VER      | Platón Sánchez
          27 | GRO      | Tixtla de Guerrero
          27 | GUA      | Yuriria
          27 | JAL      | San Julián
          27 | MEX      | San Vicente Chicoloapan de Juárez
          27 | MIC      | Cuitzeo del Porvenir
          27 | OAX      | El Camarón
          27 | VER      | Juan Rodríguez Clara
          28 | GRO      | Tepecoacuilco de Trujano
          28 | GUA      | Apaseo el Grande
          28 | JAL      | Cocula
          28 | MEX      | Capulhuac
          28 | OAX      | San Pedro Mixtepec -Dto. 22-
          28 | VER      | Huatusco de Chicuellar
          29 | GRO      | San Marcos
          29 | GUA      | Purísima de Bustos
          29 | JAL      | El Grullo
          29 | MEX      | Juchitepec de Mariano Riva Palacio
          29 | OAX      | Santa Cruz Itundujia
          29 | VER      | Ixtaczoquitlán
